licence_number	name	licensee	address	pharmacies_types	town	expiry_date	
P01-P1240-2024	MAINSTREET PHARMACY	TARGTEN (PVT) LTD	4225 MAINSTREET RD	Pharmacy in any other location	HARARE	10/31/2025	
P05-P1239-2024	MAINSTREET PHARMACY - L. TAKAWIRA BRANCH	TARGTEN (PVT) LTD	SHOP 1 124 LEOPOLD TAKAWIRA STREET	Pharmacy located in the CBD	HARARE	10/31/2025	
P01-P1256-2024	MAINSTREET PHARMACY - PARKTOWN BRANCH	TARGTEN (PVT) LTD	SHOP 7 MERSEY BLD PARKTOWN	Pharmacy in any other location	HARARE	08/31/2025	
P06-P1950-2024	MAKANAKA PHARMACY	MAKANAKA PHARMACY (PVT) LTD	22 INC WADZANAI SHOPS	Pharmacy in rural area	SHAMVA	08/31/2025	
D01-P0018-2023	MAKETA TAZIVA (GLEN VIEW MEDICAL)	MAKETA TAZIVA (Dr)	14 TH AVENUE	Dispensing medical practice	HARARE	06/30/2024	
P06-P1390-2024	MALASHA PHARMACY	OLICHEM PHARMACY (PVT) LTD	23 CORONATION DrIVE	Pharmacy in rural area	HWANGE	02/28/2025	
P05-P1660-2024	MAMBOMED PHARMACY	MAMBOMED INVESTMENTS (PVT) LTD	ROOM 14 71 CONTINENTAL PLAZA 6TH ST	Pharmacy located in the CBD	GWERU	06/30/2025	
I03-P0104-2023	MANA POOLS NATIONAL PARKS CLINIC	ZIMB.PARKS & WILDLIFE MANAGEMENT	MANA POOLS NATIONAL PARK	Clinics: Class C	KAROI	09/30/2024	
P01-P1856-2024	MANDAVA PHARMACY	AYDENSEA LOY PHARMACEUTICALS (PVT) LTD	NO. 1203	Pharmacy in any other location	ZVISHAVANE	10/31/2025	
P06-P1630-2024	MANHENGA PHARMACY	INTERGRAUM INVESTMETS (PVT) LTD	613 MANHENGA	Pharmacy in rural area	BINDURA	03/31/2025	
I02-P0116-2023	MANICA BOARDS AND DOORS CLINIC	MANICA BOARDS AND DOOR (PVT) LTD	"5 ST HELENS DrIVE,"	Clinics: Class C	MUTARE	09/30/2024	
I02-P0091-2023	MANICALAND STATE UNIVERSITY OF APPLIED SCIENCE	MAINCALAND STATE UNIVERSITY OF APPLIED SCIENCE	1 STAIR GUTHRIE ROAD	Clinics: Class B	MUTARE	09/30/2024	
D01-P0011-2023	MANRESA WAY MEDICAL CENTRE	MANRESA WAY MEDICAL CENTRE	139 MANRESA WAY NEW MABVUKU	Dispensing medical practice	HARARE	06/30/2024	
P01-P1945-2024	MARBLES PHARMACY	MARBLES PHARMACY (PVT) LTD	606 CHARLES STREET	Pharmacy in any other location	CHEGUTU	10/31/2025	
P01-P1739-2024	MARIMBA PHARMACY	MARIMBA PHARMACY (PVT) LTD	"SHOP 11,MARIMBA S/ CENTRE,"	Pharmacy in any other location	HARARE	02/28/2025	
P02-P1867-2024	MASHAMBANZOU CARE TRUST	MASHAMBANZOU CARE TRUST	40 SANDOWN ROAD	Pharmacies: Restricted	HARARE	02/28/2025	
P06-P1860-2024	MASHAVA PHARMACY	LARANOK PHARMACEUTICALS (PVT) LTD	78B BALMAIN	Pharmacy in any other location	MASVINGO	02/28/2025	
P01-P1421-2024	MASHFOLKS PHARMACY	MASHFOLKS INVESTMENTS (PVT) LTD	10491 KUWADZANA 5 SHOPPING CENTRE	Pharmacy in any other location	HARARE	10/31/2025	
I02-P0127-2023	MASHONALAND TOBACCO CLINIC	MASHONALAND TOBACCO COMPANY P/L	"167 ERITH ROAD, WILLOWVALE"	Clinics: Class C	HARARE	09/30/2024	
I03-P0124-2023	MASHONALAND TOBACCO COMPANY	MASHONALAND TOBACCO COMPANY	4 SIMON MAZORODZE ROAD	Clinics: Class C	HARARE	09/30/2024	
I02-P0081-2023	MASHONALAND TOBACCO COMPANY	MASHONALAND TOBACCO COMPANY P/L	15-17 AUCKLAND RD	Clinics: Class B	HARARE	09/30/2024	
I02-P0138-2023	MASVINGO NEW START	POPULATION SOLUTIONS FOR HEALTH	10 HOFMEYER ROAD	Clinics: Class B	MASVINGO	09/30/2024	
I03-P0228-2024	MASVINGO WOMENS CLINIC	MASVINGO WOMENS CLINIC (PVT) LTD	54 ROBERTSON STREET	Clinics: Class C	MASVINGO	08/30/2025	
D01-P0029-2023	MAT 24 MEDICAL CENTRE	METPATH INVESTMENTS (PVT) LTD	PARWAZENGA BHEURA	Dispensing medical practice	ZAKA	06/30/2024	
P01-P1508-2024	MATRAMED PHARMACY	MATRAMED (PBC)	SHOP 2 STD NO. 11222 CHINHOYI T/SHIP	Pharmacy in any other location	CHINHOYI	07/31/2025	
P01-P1593-2024	MAURICE PHARMACY	UPPRUNA ENTERPRISES (PVT) LTD	"1245 HUGGINS ROAD,"	Pharmacy in any other location	BULAWAYO	08/31/2025	
P01-P1430-2024	MAXI HEALTH PHARMACY	GAZALAND PHARMACY (PVT) LTD	8722 GAZALAND S/CENTRE	Pharmacy in any other location	HARARE	04/30/2025	
I03-P0070-2023	MAZOWE CITRUS ESTATE CLINIC	MAZOWE CITRUS ESTATE	MAZOWE CITRUS ESTATE	Clinics: Class C	MAZOWE	09/30/2024	
H01-P0028-2024	MAZOWE PEDIATRIC HOSPITAL PHARMACY	BAINES AVENUE CLINIC (PVT) LTD	STD NO. 1679 11 MAZOWE STREET	Hospital pharmacies	HARARE	02/28/2025	
P01-P1150-2024	MBARE PHARMACY	MBARE PHARMACY (PVT) LTD	"STD 14829, CHAMINUKA ST"	Pharmacy in any other location	HARARE	05/31/2025	
P01-P1688-2024	M-CARE PHARMACY	M-CARE ENTERPRISES (PVT) LTD	SHOP 9 SAMORA MACHEL AVENUE	Pharmacy in any other location	HARARE	06/30/2025	
P01-P1697-2024	M-CARE PHARMACY - BRAESIDE	M-CARE ENTERPRISES (PVT) LTD	"SHOP 7 2 TAIT AVENUE, BRAESIDE"	Pharmacy in any other location	HARARE	02/28/2025	
P01-P1443-2024	MED-AID PHARMACY	CYNFER INCORPORATED (PVT) LTD	STD 85 TAFARA WAY KAMUNHU S/CENTRE	Pharmacy in any other location	HARARE	10/31/2025	
P01-P1449-2024	MEDBRIGHT PHARMACY	MEDBRIGHT INVESTMENTS (PVT) LTD	4292 MACHIPISA HIGHFIELD	Pharmacy in any other location	HARARE	04/30/2025	
P01-P1206-2024	MEDCHAIN PHARMACY	MEDCHAIN (PVT) LTD	745-4TH STREET	Pharmacy in any other location	HARARE	10/31/2025	
P01-P1977-2024	MED-CHIP PHARMACY	MED-CHIP PHARMACY (PVT) LTD	11 ROWLAND SQUARE MILTON PARK	Pharmacy in any other location	HARARE	09/30/2025	
P05-P1583-2024	MED-CHIP PHARMACY	MED-CHIP PHARMACY (PVT) LTD	247 THE GREEN OAK ST	Pharmacy located in the CBD	MARONDERA	06/30/2025	
P01-P1732-2024	MED-CHIP PHARMACY (PARKTOWN)	MED-CHIP (PVT) LTD	SHOP NO. 7 PARKTOWN SHOPS	Pharmacy in any other location	HARARE	07/31/2025	
P01-P1676-2024	MEDCREST WEST PHARMACY	NHB INVESTMENTS (PVT) LTD	15219 NEW MILLIENIUM INDUSTRIAL PARK	Pharmacy in any other location	CHINHOYI	02/28/2025	
P06-P1623-2024	MEDCREST PHARMACY	NHB INVESTMENTS (PVT) LTD	"5492, TURF TOWNSHIP"	Pharmacy in rural area	NGEZI	12/31/2025	
P01-P1756-2024	MEDDSOL PHARMACY	ECCLESTICAL INVESTMENTS (PVT) LTD	SHOP 1 STAND 22293 KUWADZANA 2	Pharmacy in any other location	HARARE	08/31/2025	
W01-P0189-2024	MEDEXPRESS PHARMACEUTICALS	MEDEXPRESS PHARMACEUTICALS (PVT) LTD	SHOP NO 3 WINCHENDON S/CENTRE PHILADELPHIA	Wholesalers	HARARE	03/31/2025	
P01-P1704-2024	MEDFLEX PHARMACY	MEDFLEX PHARMACY (PVT) LTD	"SHANGWA COMPLEX, B61 CHILONGA DrIVE"	Pharmacy in any other location	CHIREDZI	06/30/2025	
P01-P1669-2024	MEDIC PHARMACIES	ANTIN PHARMACETICAL (PVT) LTD	STAND 63012A TSHABALALA	Pharmacy in any other location	BULAWAYO	06/30/2025	
P01-P1931-2024	MEDICAL CENTRE CHEMIST PHARMACY	NKOSIS PHARMACY (PVT) LTD	1192 CHINOTIMBA T/SHIP	Pharmacy in any other location	VIC FALLS	04/30/2025	
P05-P0139-2023	MEDICHEM PHARMACIES GWERU	MEDICHEM HEALTH (PVT) LTD	59 6TH STREET	Pharmacy located in the CBD	GWERU	09/30/2025	
P01-P1886-2024	MEDICINE SHOPPE PHARMACY	MEDICINE SHOPPE	15 BAINES AVENUE	Pharmacy in any other location	HARARE	11/30/2025	
P05-P1560-2024	MEDICIVE PHARMACY	MEDICIVE (PVT) LTD	"SHOP 24 GROUND FLOOR, EASTGATE MALL"	Pharmacy located in the CBD	HARARE	03/31/2025	
P01-P1544-2024	MEDICIVE PHARMACY	MEDICIVE (PVT) LTD	1575 ASPINDALE PARK	Pharmacy in any other location	HARARE	09/30/2025	
P01-P1547-2024	MEDICIVE PHARMACY	MEDICIVE (PVT) LTD	"SHOP 4, 3 AND 5 ADYLIN PARK AVONDALE"	Pharmacy in any other location	HARARE	12/31/2025	
W01-P0078-2023	MEDICONNECT PHARMACEUTICALS	MEDICONNECT PHARMACETICALS (PVT) LTD	BAY 4 ST JAMES BLD 3BORGWARD RD MsASA	Wholesalers	HARARE	03/31/2025	
P05-P1144-2024	MEDIHEALTH PHARMACY	MUNIFELT ENTERPRISES (PVT) LTD	47 J.M.N. NKOMO STREET	Pharmacy located in the CBD	BULAWAYO	07/31/2025	
P06-P0000-2024	MEDIJOINT PHARMACY	MEDIJOINT HEALTHCARE (PVT) LTD	STAND NO. 291	Pharmacy in rural area	CENTENARY	12/31/2025	
P01-P1480-2024	MEDI-LOFT PHARMACY	MEDICINE LOFT (PBC)	"SHOP 5, GAYDON RD"	Pharmacy in any other location	HARARE	12/31/2025	
P01-P1727-2024	MEDI-MART PHARMACY	CHELDOH TRADING (PVT) LTD	92 DONNERS ARCADE 82 HARARE STREET	Pharmacy in any other location	HARARE	08/31/2025	
P05-P1915-2024	MEDIPHARM	ALPALE INTERNATIONAL (PVT) LTD	BETWEEN L TAKAWIRA AND 6TH AVENUE	Pharmacy located in the CBD	BULAWAYO	07/31/2025	
P01-P1601-2024	MEDIPLUS PHARMACY	VONGAT PHARMACY PVT LTD	SHOP 4 STD 5 HERBERT CHITEPO AVENUE	Pharmacy in any other location	RUSAPE	10/31/2025	
P01-P1500-2024	MEDIROSE PHARMACY	WORDCODE INVESTMENTS (PVT) LTD	SHOP 4 MACHOKOTO BLD	Pharmacy in any other location	HARARE	09/30/2025	
P01-P2031-2024	MEDISUITE PHARMACY	MEDISUITE PHARMACY (PVT) LTD	4030 HOME INDUSTRY CHAKARI ROAD	Pharmacy in any other location	CHEGUTU	05/31/2025	
W01-P0164-2024	MEDI-VET	MEDI-VET (PVT) LTD	"20 SOUTHAM RD, GREYSTONE PARK"	Wholesalers	HARARE	03/31/2025	
P05-P1893-2024	MEDIWISE PHARMACY	PETER CHIPWERE	1837 ARTHERSTONE ROAD	Pharmacy located in the CBD	516	12/31/2025	
P01-P2018-2024	MEDIX LANCASTER PHARMACY (MUTARE)	MEDIX LIMITED	95A HERBERT CHITEPO	Pharmacy in any other location	MUTARE	05/31/2025	
W01-P0168-2024	MEDJEY PHARMACEUTICALS	MEDJEY PHARMACEUTICAL (PVT) LTD	"STD NO. 1576 UNIT 10 PATDUNN AVE, NEW ARDBERNIE"	Wholesalers	HARARE	11/30/2025	
P01-P1266-2024	MEDLIFE PHARMACY	SIBUTAN PHARMACEUTICALS (PVT) LTD	7206 GOKWE CENTRE	Pharmacy in any other location	GOKWE	02/28/2025	
P01-P1562-2024	MEDLINE PHARMACY	DUVE BRIGHTON	"SHOP 5, BAHADUR CNR 3RD ST"	Pharmacy in any other location	247	04/30/2025	
P01-P1973-2024	MEDLINK 24 PHARMACY	BLUE OCEAN PHARMACEUTICALS (PVT) LTD	STAND 7828	Pharmacy in any other location	HARARE	07/31/2025	
P01-P1985-2024	MEDLINK USHEWEKUNZE PHARMACY	BLUE OCEAN PHARMACEUTICALS (PVT) LTD	1053 NEW CERNY PARK USHEWEKUNZW	Pharmacy in any other location	HARARE	02/28/2025	
P01-P1869-2024	MED-MINT PHARMACY	MED-MINT PHARMACY (PVT) LTD	8 ROBERT MUGABE	Pharmacy in any other location	BINDURA	02/28/2025	
P01-P1538-2024	MED-MINT PHARMACY	MED-MINT PHARMACY (PVT) LTD	8901	Pharmacy in any other location	VIC FALLS	02/28/2025	
P01-P1875-2024	MED-ONE PHARMACY	PINEAL PHARMACEUTICALS (PVT) LTD	90 FRED JAMESON ST	Pharmacy in any other location	KAROI	05/31/2025	
P01-P2000-2024	MEDORANGE PHARMACIES - KWEKWE	PALM-PHARMA (PVT) LTD	20C ED MNANGANGWA WAY	Pharmacy in any other location	KWEKWE	04/30/2025	
P05-P1999-2024	MEDORANGE PHARMACIES - NOCZIM	PALM PHARMA (PVT) LTD	NO. 2 NOCZIM HOUSE	Pharmacy located in the CBD	HARARE	04/30/2025	
P01-P1612-2024	MEDPOINT PHARMACY	MACLATEN HOLDINGS (PVT) LTD	95 BAINES AVENUE	Pharmacy in any other location	HARARE	12/31/2025	
P01-P2023-2024	MEDrITE PHARMACY HOBHOUSE	MEDrITE PHARMACY (PVT) LTD	STAND 2199	Pharmacy in any other location	MUTARE	05/31/2025	
P01-P1657-2024	MEDS 24 PHARMACY	PALOMINO PHARMACEUTICALS (PVT) LTD	"VUKA NTENGANE COMPLEX, STAND 62 DINGUMUZI"	Pharmacy in any other location	PLUMTREE	09/30/2025	
P01-P1736-2024	MEDS 24 PHARMACY	PALOMINO PHARMACEUTICAL (PVT) LTD	NO. 45 ROBERT MUGABE WAY	Pharmacy in any other location	BULAWAYO	02/28/2025	
P01-P1754-2024	MEDS@68 PHARMACY	LIL BAMBINO PHARMACY (PVT) LTD	68 RIDGEWAY NORTH BORROWDALE	Pharmacy in any other location	HARARE	06/30/2025	
P01-P1776-2024	MEDS24 PHARMACY -THEKWANE	PALOMINO PHARMACEUTICALS	STAND NO. 17 THEKWANE ROAD	Pharmacy in any other location	PLUMTREE	11/30/2025	
P01-P1769-2024	MEDTOCURE PHARMACY	MEDTOCURE INVESTMENTS (PVT) LTD	10091 GUZHA	Pharmacy in any other location	CHITUNGWIZA	04/30/2025	
P05-P1923-2024	MEDXPRESS PHARMACY	HEALTH CORNER (PVT) LTD	121/123 HARARE STREET	Pharmacy located in the CBD	HARARE	12/31/2025	
P01-P1481-2024	MEIZON PHARMACY	MEIZON INCORPORATED (PVT) LTD	"SHOP 2, HURUYADZO SHOPS, ST MARYS"	Pharmacy in any other location	CHITUNGWIZA	08/31/2025	
P01-P2017-2024	MELBOURNE PHARMACY	SALUTEM BOOST (PVT) LTD	"29 EASTCOURT ROAD, BELVEDERE"	Pharmacy in any other location	HARARE	02/28/2025	
P01-P1336-2024	MERCURY PHARMACY	MERCURY PHARMACIES (PBC)	36996 UNIT O SEKE	Pharmacy in any other location	CHITUNGWIZA	07/31/2025	
P01-P1424-2024	MERCURY PHARMACY	MERCURY PHARMACIES (PBC)	21793 UNIT C SEKE	Pharmacy in any other location	CHITUNGWIZA	12/31/2025	
P01-P1859-2024	METLIFE PHARMACY	METLIFE (PVT) LTD	1164 SECOND AVENUE PARKTOWN	Pharmacy in any other location	HARARE	08/31/2025	
D01-P0023-2023	MHANGAMI SURGERY (Dr)	MASIMBA MHANGAMI Dr	STAND 207	Dispensing medical practice	JERERA	06/30/2024	
P01-P1798-2024	MICHAEL GELFAND PHARMACY	LEXCHEM (PVT) LTD	53 JOSIAH CHINAMANO AVENUE	Pharmacy in any other location	HARARE	02/28/2025	
I04-P0149-2023	MIDLANDS CHRISTIAN SCHOOL CLINIC	MIDLANDS CHRISTIAN SCH. SANATORIUM	LONG RD CHRISTMAS GIFT	Clinics: Class D	GWERU	09/30/2024	
I02-P0109-2023	MIDLANDS STATE UNIVERSITY CLINIC	MIDLANDS STATE UNIVERSITY	MIDLANDS STATE UNIVERSITY	Clinics: Class B	GWERU	09/30/2024	
I03-P0118-2023	MILL CLINIC	TRIANGLE LIMITED	TRIANGLE LIMITED SUGAR MILL	Clinics: Class C	TRIANGLE	09/30/2024	
P04-P1176-2024	MILTON PARK CLINICAL RESEARCH SITE (CRS)	UNIVERSITY OF ZIMB. CLINICAL TRIALS RESEARCH CENT. (UZ-CTRC)	31 LAWSON AVENUE MILTON PARK	Pharmacies: Research	HARARE	10/31/2025	
H01-P0021-2024	MILTON PARK MEDICAL CENTRE PHARMACY	MILTON PARK MEDICAL CENTRE (PVT) LTD	"NO. 2, HARVEY BROWN, MILTON PARK"	Hospital pharmacies	HARARE	09/30/2025	
I01-P0113-2023	MIMOSA MINE CLINIC	MIMOSA MEDICAL SERVICES (PVT) LTD	"OLD DADAYA RD, MIMOSA MINE"	Clinics: Class A	ZVISHAVANE	09/30/2024	
P05-P1943-2024	MINICARE PHARMACY	MINICARE PHARMACY	"SHOP 2 LUXOR HSE, ALONG 9TH AVE & FIFE ST"	Pharmacy located in the CBD	BULAWAYO	07/31/2025	
P06-P0000-2024	MK PHARMACY	NYACHEGA CLIFFORD	"STAND 98 HAUNA TOWNSHIP, HONDE VALLEY"	Pharmacy in rural area	MUTARE	07/31/2025	
P05-P1311-2024	MLINK PHARMACY	CATCHDEAL INVESTMENTS (PVT) LTD	"SHOP AI, 54 SHUVAI MAHOFA STREET"	Pharmacy located in the CBD	MASVINGO	02/28/2025	
P05-P1418-2024	MN PHARMACY	BESTZONE (PVT) LTD	136 MBUYA NEHANDA STREET	Pharmacy located in the CBD	HARARE	01/31/2025	
P01-P1876-2024	MOKOENA PHARMACY	MOKOENA PHARMACY (PVT) LTD	10416F GLENWOOD EPWORTH	Pharmacy in any other location	HARARE	10/31/2025	
P01-P1507-2024	MOM AND BABY PHARMACY	HYPERGAIN EXPEDITIONS (PVT) LTD	16090 UNIT G.	Pharmacy in any other location	CHITUNGWIZA	11/30/2025	
I03-P0221-2024	MONARCH PRODUCTS LTD CLINIC	TREGERS PRODUCTS (PVT) LTD	KHAMI/WAVERLY RDS	Clinics: Class C	BULAWAYO	09/30/2025	
P01-P1329-2024	MONDAY PHARMACY	MOPANEWAY (PVT) LTD	646 NHARIRA SHOPS	Pharmacy in any other location	NORTON	02/28/2025	
P01-P1684-2024	MONTAGU HEALTH PHARMACY	JTEE TJAY INVESTMENTS (PVT) LTD	"STDNO. 1484, 9 J. CHINAMANO AVE SUITE 1"	Pharmacy in any other location	HARARE	11/30/2025	
P01-P1710-2024	MONTCLAIRE PHARMACY	NOVASPHERE ENTERPRISES (PVT) LTD	14322 MADOKERO ESTATES	Pharmacy in any other location	HARARE	03/31/2025	
P01-P1602-2024	MORNINGSIDE PHARMACY	BONIPHARM PHARMACEUTICALS (PVT) LTD	SHOP 4 MORNINGSIDE COMPLEX 24 GREYSTOKE WAY	Pharmacy in any other location	BULAWAYO	08/31/2025	
P01-P1420-2024	MOUNT DARWIN PHARMACY	MOUNT DARWIN PHARMACY (PVT) LTD	1 MAIN STREET	Pharmacy in any other location	MT DARWIN	05/31/2025	
I03-P0126-2023	MPAPA CLINIC	TRIANGLE LIMITED	"SECTION 65, TRIANGLE SUGAR ESTATE"	Clinics: Class C	TRIANGLE	09/30/2024	
P01-P1621-2024	MPOPOMA PHARMACY	TSEPO PHARMACY (PVT) LTD	6946 MPOPOMA SHOPPING COMPLEX	Pharmacy in any other location	BULAWAYO	12/31/2025	
D01-P0009-2023	MT DARWIN SURGERY	Dr G MAPIYE	"SHOP 1, CABS CENTRE"	Dispensing medical practice	MT DARWIN	06/30/2024	
D01-P0035-2023	MUCHUWETI DAVID	MUCHUWETI DAVID (Dr)	"STD 9972 MUSHAYABANDE, GLEN NORAH B"	Dispensing medical practice	HARARE	06/30/2024	
P06-P1970-2024	MUDZI RANK PHARMACY	BITS SOLUTION P/L	SHOP 147 NUMBER KOTWA	Pharmacy in rural area	MUDZI	04/30/2025	
P01-P1696-2024	MUGUTA PHARMACY	DrUG MART PHARMACY (PVT) LTD	SHOP 11 MUGUTA EPWORTH	Pharmacy in any other location	HARARE	02/28/2025	
P01-P1617-2024	MUKOSI PHARMACY	MUKOSI ENTERPRISES (PVT) LTD	SHOP 14 CHITUNGWIZA TOWN CENTRE	Pharmacy in any other location	CHITUNGWIZA	06/30/2025	
W01-P0143-2024	MULLER & PHIPPS	MULLER & PHIPPS (PVT) LTD	93 HIGHFIELD ROAD	Wholesalers	HARARE	03/31/2025	
P01-P1861-2024	MUM AND BABY PHARMACY	CRYSTALGLOW PBC	13624 ZENGEZA 2 SHOPPING CENTRE	Pharmacy in any other location	CHITUNGWIZA	05/31/2025	
P06-P1180-2024	MURAMBINDA RANK PHARMACY	REDOLENT INVESTMENTS (PVT) LTD	STAND 3455 MURAMBINDA GROWTH POINT	Pharmacy in rural area	MURAMBINDA	02/28/2025	
P05-P1440-2024	MURAPI PHARMACY	TANQ VEST INCORPORATED (PVT) LTD	68B HERBERT CHITEPO ST	Pharmacy located in the CBD	MUTARE	11/30/2025	
I02-P0072-2023	MURIEL MINE CLINIC	PAN AFRICAN MINING	MURIEL MINE	Clinics: Class B	BANKET	09/30/2024	
P01-P2011-2024	MUTALA TRUST PHARMACY	MUTALA TRUST	52 ALPES ROAD	Pharmacies: Research	HARARE	05/31/2025	
I03-P0092-2023	MUTARE BOARD & PAPER MILLS CLINIC	MUTARE BOARD & PAPER MILLS	MUTARE BOARD & PAPER MILLS	Clinics: Class C	MUTARE	09/30/2024	
P01-P1705-2024	MUTARE NETLIFE I PHARMACY	VOUS PHARMACEUTICALS (PVT) LTD	123 - 125 HERBERT CHITEPO AVENUE	Pharmacy in any other location	MUTARE	02/28/2025	
I02-P0145-2023	MUTARE NEW START CENTRE	POPULATION SOLUTION FOR HEALTH	4 JUBILEE STREET	Clinics: Class B	MUTARE	09/30/2024	
P01-P1619-2024	MUTARE PHARMACY	M.J. CHEMIST (PVT) LTD	65 H. CHITEPO STREET	Pharmacy in any other location	MUTARE	07/31/2025	
I02-P0199-2023	MUTARE POLYTECHNIC CLINIC	MUTARE POLYTECHNIC	CNR VINCENT AVE & ROBERT MUGABE ST	Clinics: Class B	MUTARE	09/30/2024	
I03-P0121-2023	MUTIRIKWI CLINIC	TRIANGLE LIMITED	SECTION 63 TRIANGLE SUGAR ESTATES	Clinics: Class C	TRIANGLE	09/30/2024	
D01-P0008-2023	MVURWI POLYCLINIC	Dr R CHINOVHIRINGA	"STAND 624, INDEPENDENCE WAY"	Dispensing medical practice	MVURWI	06/30/2024	
I02-P0094-2023	MWENEZI DEVELOPMENT CORP CLINIC	MWENEZI DEVELOPMENT CORP LIMITED	MWENAZANA ESTATE	Clinics: Class B	MWENEZI	09/30/2024	
D01-P0024-2023	MWENEZI SURGERY	ITAI MATIBIRI	"STAND 519, NESHURO"	Dispensing medical practice	MWENEZI	06/30/2024	
P01-P1187-2024	N & M PHARMACIES - CHITUNGWIZA	INFINITY VENTURES (PVT) LTD	"STD 7217, SHOP 2 UNIT J"	Pharmacy in any other location	CHITUNGWIZA	12/31/2025	
I02-P0038-2023	NATIONAL BREWERIES - BULAWAYO	NATIONAL BREWERIES LIMITED	"14-15 LEAMINGTON RD, BELMONT"	Clinics: Class B	BULAWAYO	09/30/2024	
I02-P0077-2023	NATIONAL FOODS CLINIC	NATIONAL FOODS LIMITED	STEELWORKS ROAD	Clinics: Class C	BULAWAYO	09/30/2024	
I02-P0069-2023	NATIONAL FOODS LTD - HARARE	NATIONAL FOODS LTD	"10 STIRLING RD, WORKINGTON HEAVY INDUSTRIES"	Clinics: Class C	HARARE	09/30/2024	
W01-P0216-2024	NATIONAL PHARMACEUTICAL COMPANY	NATIONAL PHARMACEUTICAL COMPANY	"14 LOBENGULA RD, SOUTHERTON,"	Wholesalers	HARARE	03/31/2025	
I04-P0203-2024	NATIONAL SOCIAL SECURITY AUTHORITY	NATIONAL SOCIAL SECURITY AUTHORITY	"VERA ROAD, MZILIKAZI"	Clinics: Class D	BULAWAYO	09/30/2024	
W01-P0214-2024	NATPHARM - MASVINGO	NATIONAL PHARMACEUTICAL COMPANY	"2844 INDUSTRIAL SITE,"	Wholesalers	MASVINGO	03/31/2025	
H01-P0023-2024	NECTACARE PHARMACY	NECTACARE (PVT) LTD	1016A HIGHLANDS	Hospital pharmacies	ZVISHAVANE	02/28/2025	
P01-P1439-2024	NECTACARE PHARMACY	NECTACARE (PVT) LTD	SHABANI MINE HOSPITAL	Pharmacy in any other location	ZVISHAVANE	05/31/2025	
P01-P1683-2024	NECTACARE PHARMACY	NECTACARE PHARMACEUTICALS (PVT) LTD	217 HEBERT CHITEPO AVENUE	Pharmacy in any other location	HARARE	08/31/2025	
P05-P1706-2024	NECTACARE PHARMACY	NECTACARE PHARMACEUTICALS (PVT) LTD	"STAND 432, 55 BTWN 4TH/5TH AVE"	Pharmacy located in the CBD	BULAWAYO	02/28/2025	
P05-P1441-2024	NECTACARE PHARMACY	NECTACARE	"NO. 85, HERBERT CHITEPO STREET"	Pharmacy located in the CBD	MUTARE	05/31/2025	
P01-P1352-2024	NEIGHBORCARE DrIVE-THRU PHARMACY	NEIGHBOROCARE PHARMACY (PVT) LTD	6460 SOUTHLEA PARK	Pharmacy in any other location	HARARE	08/31/2025	
P01-P1891-2024	NEIGHBORCARE PHARMACY	NEIGHBORCARE PHARMACY (PVT) LTD	6421 SOUTHLEA PARK	Pharmacy in any other location	HARARE	10/31/2025	
W01-P0191-2024	NEOMED PHARMACEUTICALS	CURLEW CHEMICALS (PVT) LTD	"NO 129 A G. SILUNDIKA 13TH& 14TH AVENUE,"	Wholesalers	BULAWAYO	04/30/2025	
D01-P0036-2023	NESHURO SURGERY	MANJEYA M. Dr	STAND 144	Dispensing medical practice	RUTENGA	06/30/2024	
P01-P1974-2024	NETCARE PHARMACY	LIFECHECK PHARMACY (PVT) LTD	19088 DAMAFALLS	Pharmacy in any other location	RUWA	04/30/2025	
I02-P0163-2023	NEW AFRICA HOUSE NEW START	POPULATION SOLUTIONS FOR HEALTH	NEW AFRICA HOUSE NO. 40 KWAME KRUMAH AVENUE	Clinics: Class B	HARARE	09/30/2024	
W01-P0148-2024	NEW AVAKASH INTERNATIONAL	NEW AVAKASH INTERNATIONAL (PVT) LTD	"STD NO. 18378 MUKUVISI IND. PARK, BAY 1, UNIT 1"	Wholesalers	HARARE	03/31/2025	
P06-P0897-2024	NEW CHIVHU PHARMACY	CHIKOROWONDO HEALTHCARE (PVT) LTD	"STAND 380, DECLERK STREET"	Pharmacy in any other location	CHIVHU	05/31/2025	
P01-P1627-2024	NEW HIGHFIELD PHARMACY	ROLESERVE INVESTMENTS (PVT) LTD	"STD 4100 MACHIPISA MURAPE BLD,HIGHFIELD"	Pharmacy in any other location	HARARE	11/30/2025	
P01-P1733-2024	NEW HOPE PHARMACY	NEW HOPE PHARMACY	"19157 ZENGEZA 4 SHOPS, ZENGEZA"	Pharmacy in any other location	CHITUNGWIZA	10/31/2025	
P01-P1622-2024	NEW HORIZON - MARIMBA	CAPLETECH INVESTMENTS (PVT) LTD	STAND 9686 MUFAKOSE OK SHOPPING CENTRE	Pharmacy in any other location	HARARE	08/31/2025	
P01-P1361-2024	NEW HORIZON MUFAKOSE PHARMACY	CAPLETECH INVESTMENTS (PVT) LTD	STAND 33 AREA G.MUDYAMHEMBWE	Pharmacy in any other location	HARARE	08/31/2025	
P01-P1675-2024	NEW HORIZON PHARMACY	HYBERABAD INVESTMENTS (PVT) LTD	STAND 1685 CHESVINGO BUSINESS CENTRE	Pharmacy in any other location	MASVINGO	08/31/2025	
